Samplingpoint,Pollutant,Start,End,Value,Unit,AggType,Validity,Verification,ResultTime
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-06-18,2022-06-19,23.888888,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-06-19,2022-06-20,33.75,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-06-20,2022-06-21,21.388888,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-06-21,2022-06-22,12.361111,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-06-22,2022-06-23,18.611111,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-06-23,2022-06-24,17.916666,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-06-24,2022-06-25,9.583333,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-06-25,2022-06-26,9.027777,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-06-26,2022-06-27,9.305555,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-06-27,2022-06-28,7.222222,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-06-28,2022-06-29,9.444444,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-06-29,2022-06-30,15.416666,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-06-30,2022-07-01,17.638888,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-07-01,2022-07-02,6.111111,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-07-02,2022-07-03,8.194444,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-07-03,2022-07-04,11.805555,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-07-04,2022-07-05,14.444444,ug.m-3,day,1,1,2023-06-27 14:13:59
